Num Applicant,Applicant Information,Property,Lender,Approval Status
1,"[97.88329161 77.89750987 58.26303364 86.31348609  8.83324991 53.64386634
 29.83159471 -3.4840815  31.31183416 42.72216673]",[ 49.42913207   4.83971869 -21.69092794  91.24080263 -73.23455111],1,0
2,"[98.92825858 76.80413415 60.79844143 79.94935049 10.76803133 56.46388034
 47.21407451 -3.50290148 30.68102029 43.80841964]",[ -7.88755013 -94.75337672  78.46406307 -44.3544259   70.96293487],2,0
3,"[103.26216867  88.79687105  62.55213597  83.72129646   7.19924534
  70.39808459  42.83461887  -3.50169601  29.89372382  38.18955822]",[-82.91118491  43.77373326  33.79115923  -1.63512475  47.36946896],1,1
4,"[90.30819669 80.67185636 64.26769341 83.07722451 12.35023032 58.07593655
 48.20515471 -3.46017092 30.35952816 37.36654933]",[ 43.27850393   0.42712918 -10.33030868  83.90598214 -81.11655155],2,0
5,"[90.87133171 78.50314892 52.87587095 80.71071624  8.8163189  59.04668926
 49.13295263 -3.50171751 31.51412098 32.75016156]",[ -2.17202836 -88.06096051  74.60113785 -38.99985007  69.80773045],0,1
6,"[97.74237716 67.80662425 61.36071954 83.77550599 10.21896332 55.66448112
 47.48961338 -3.46831025 31.66041931 39.81605671]",[ 43.27850393   0.42712918 -10.33030868  83.90598214 -81.11655155],1,0
7,"[95.16090475 66.4308698  48.33177254 82.5861472   9.33848945 55.16437304
 34.29728548 -3.48399892 30.79872772 34.27185105]",[ -7.88755013 -94.75337672  78.46406307 -44.3544259   70.96293487],2,0
8,"[ 14.06976703 -54.07499782 -48.99838958  43.04040668 -29.31601634
 -47.62248169 -66.1960816  -16.6871584    7.03235134 -27.95258109]",[-82.91118491  43.77373326  33.79115923  -1.63512475  47.36946896],1,0
9,"[ 10.75873784 -64.87853484 -48.42273089  23.47963216 -30.26140048
 -50.53481981 -62.18814395 -21.1363525    5.59860112  -5.91368979]",[ 43.27850393   0.42712918 -10.33030868  83.90598214 -81.11655155],2,0
10,"[ 31.89912677 -58.95147725 -49.84247013  31.73333451 -29.87498798
 -35.70032684 -65.17283465 -20.77504738  10.02847945 -21.34902041]",[-82.91118491  43.77373326  33.79115923  -1.63512475  47.36946896],0,1
11,"[-84.93833747  84.83412113  20.64449175  46.06429443   8.66147116
 -86.60147471  33.9870767   14.14275191  45.68561801  18.34687257]",[ 46.49015676   1.5711112  -12.51447789  80.07549042 -55.74615667],2,1
