60
Num Applicant,Applicant Information,Property,Lender,Approval Status
1,"[46.413448333740234, 41.00802993774414, 27.295255661010742, 51.907264709472656, 100.26146697998047, 19.164377212524414, -38.54391098022461, -55.5817756652832, 79.6153793334961, -23.91819953918457]",[-93.60537223 -36.15979072  24.95934171  81.16151035  87.12487609],1,1
3,"[55.01016616821289, 41.16770553588867, 27.89134979248047, 55.40019607543945, 95.3868408203125, 20.93927764892578, -36.656524658203125, -57.33842849731445, 78.76406860351562, -24.712448120117188]",[-93.32592333 -33.09978143  29.65661351  78.88286264  87.0005214 ],0,0
5,"[44.85298538208008, -61.786102294921875, -19.702619552612305, -41.86609649658203, 40.22954559326172, -79.12357330322266, -95.26719665527344, 74.71205139160156, 31.3065128326416, 22.05824089050293]",[-42.07872134  -1.20829838  24.96461064 -59.02849111   7.40479149],1,0
7,"[44.455101013183594, -59.061458587646484, -16.480436325073242, -38.19825744628906, 43.28616714477539, -81.37653350830078, -95.1099624633789, 83.88977813720703, 31.36768341064453, 17.224422454833984]",[ 45.67390923 -76.82679428 -89.77269085  54.45316067  88.30908577],2,0
9,"[39.65412521362305, -53.3127555847168, -19.01915740966797, -35.03140640258789, 45.042701721191406, -75.81330871582031, -89.1952133178711, 78.45536041259766, 30.924816131591797, 14.762205123901367]",[ 37.13118254 -74.53283349 -82.98917043  55.50102217  54.91925618],3,0
11,"[32.6256103515625, -47.47932052612305, -18.29127311706543, -44.87505340576172, 45.42762756347656, -78.23670196533203, -84.33557891845703, 78.2757339477539, 27.40652847290039, 9.089054107666016]",[-86.03841882 -32.69252078  37.51748709  80.1075305   87.26231797],3,1
13,"[45.28926086425781, -61.26137161254883, -18.213634490966797, -40.49180603027344, 45.906494140625, -78.60450744628906, -95.47566223144531, 92.07730102539062, 31.42171859741211, 8.331348419189453]",[ 42.85956401 -82.90125518 -84.45478453  54.86061637  56.08658283],2,0
15,"[44.55828094482422, -58.953155517578125, -18.93501091003418, -42.79139709472656, 42.113616943359375, -77.58458709716797, -90.4581298828125, 90.23966217041016, 34.24952697753906, 23.691722869873047]",[ 50.15717095 -82.58182705 -91.37464177  56.45273855  58.51042507],3,0
17,"[48.85472869873047, -63.434181213378906, -16.37818717956543, -38.24053955078125, 41.05103302001953, -79.1607666015625, -93.19515228271484, 88.938720703125, 37.62055206298828, 7.377021312713623]",[-35.72904359  -2.07595758  20.39411178 -61.46930727   4.97059588],3,1
19,"[94.10162353515625, -11.43510913848877, 58.133087158203125, -0.7779468297958374, 62.167476654052734, 59.56422805786133, -90.9800033569336, -59.48090744018555, 79.07201385498047, 83.89617919921875]",[-51.18421469   4.68590623  12.77907693 -65.2717419    5.68729999],1,1
21,"[99.66436767578125, -15.982075691223145, 58.338890075683594, -2.940739631652832, 66.96914672851562, 70.01116943359375, -83.18296813964844, -55.57512664794922, 57.38630676269531, 83.49909210205078]",[-35.72904359  -2.07595758  20.39411178 -61.46930727   4.97059588],3,1
23,"[91.75125885009766, -14.414299011230469, 59.89221954345703, -1.439941167831421, 54.56389617919922, 62.53738784790039, -87.19763946533203, -62.47536087036133, 54.79552459716797, 83.8894271850586]",[-86.03841882 -32.69252078  37.51748709  80.1075305   87.26231797],0,0
25,"[98.73817443847656, -20.857439041137695, 56.464988708496094, -0.464130163192749, 68.78459930419922, 59.766632080078125, -85.9521713256836, -48.665550231933594, 70.47433471679688, 83.42191314697266]",[ 49.17461248 -79.80767373 -82.82194918  55.67581595  78.52539401],0,1
27,"[86.75694274902344, -14.862696647644043, 61.82756423950195, -1.9613443613052368, 70.74230194091797, 56.077877044677734, -87.26172637939453, -65.31819915771484, 51.08428192138672, 83.55480194091797]",[ 43.91262657 -75.71991579 -86.1696961   53.97167268  59.04557185],1,1
29,"[93.25332641601562, -11.763167381286621, 60.066993713378906, -1.7464109659194946, 58.267520904541016, 62.3192138671875, -78.55286407470703, -60.83412551879883, 59.17792510986328, 83.08682250976562]",[-93.32592333 -33.09978143  29.65661351  78.88286264  87.0005214 ],3,0
31,"[97.51353454589844, -20.581382751464844, 57.97074508666992, -0.314799427986145, 52.295204162597656, 59.478607177734375, -85.93500518798828, -55.419898986816406, 66.47569274902344, 83.00321197509766]",[-51.18421469   4.68590623  12.77907693 -65.2717419    5.68729999],3,1
33,"[-19.276836395263672, -93.37176513671875, -29.758012771606445, 43.71604537963867, 14.346657752990723, 102.25875854492188, 24.64910888671875, -50.650474548339844, 82.67877197265625, 81.67938995361328]",[-48.68411867  -3.22145864  17.44615679 -62.36670758   2.52038319],3,0
35,"[-16.467348098754883, -93.00990295410156, -28.467987060546875, 42.449981689453125, 28.4227352142334, 102.02579498291016, 24.66152572631836, -51.479759216308594, 76.93252563476562, 97.03544616699219]",[ 37.62759117 -82.6186789  -87.11542676  54.69089671  66.61412403],2,0
37,"[-19.571250915527344, -92.98896789550781, -31.244884490966797, 47.200496673583984, 15.137283325195312, 101.54219055175781, 24.66692352294922, -52.87274169921875, 90.39533233642578, 94.99237060546875]",[-35.72904359  -2.07595758  20.39411178 -61.46930727   4.97059588],2,1
39,"[-19.080978393554688, -94.13690185546875, -31.444984436035156, 45.89988327026367, 22.388837814331055, 95.45869445800781, 24.592687606811523, -49.53711700439453, 90.27194213867188, 83.66635131835938]",[-51.18421469   4.68590623  12.77907693 -65.2717419    5.68729999],0,0
41,"[-18.536418914794922, -99.25370025634766, -29.66912269592285, 48.92409896850586, 23.4240665435791, 98.37931060791016, 24.704641342163086, -52.15211868286133, 69.82624816894531, 87.18897247314453]",[ 45.02887357 -90.15462219 -86.59905947  54.63839099  65.25355733],3,0
43,"[-18.087053298950195, -90.30069732666016, -33.258338928222656, 51.41764450073242, 27.041465759277344, 100.69398498535156, 24.651227951049805, -51.53327178955078, 76.27603149414062, 104.51544952392578]",[-93.32592333 -33.09978143  29.65661351  78.88286264  87.0005214 ],3,1
45,"[-17.366779327392578, -91.32520294189453, -29.930686950683594, 45.86711502075195, 24.40530014038086, 102.79316711425781, 24.658870697021484, -52.58517074584961, 91.66780853271484, 87.4886245727539]",[-51.18421469   4.68590623  12.77907693 -65.2717419    5.68729999],1,0
47,"[-19.258380889892578, -89.76285552978516, -30.236663818359375, 49.00843811035156, 16.802921295166016, 95.4326400756836, 24.60657501220703, -51.385433197021484, 76.10526275634766, 76.39454650878906]",[ 37.13118254 -74.53283349 -82.98917043  55.50102217  54.91925618],0,1
49,"[-20.264249801635742, -94.27616119384766, -28.601192474365234, 42.545631408691406, 18.838869094848633, 101.03150939941406, 24.59497833251953, -50.90019989013672, 86.4405517578125, 77.71051788330078]",[ 49.17461248 -79.80767373 -82.82194918  55.67581595  78.52539401],1,1
51,"[12.885808944702148, 12.570058822631836, -13.597379684448242, -65.15789031982422, -76.0075454711914, 97.8653335571289, -29.424148559570312, 42.31871795654297, 82.74323272705078, -95.1512222290039]",[-86.03841882 -32.69252078  37.51748709  80.1075305   87.26231797],0,0
53,"[-7.00768518447876, 30.473926544189453, -17.688739776611328, -65.29046630859375, -83.244140625, 97.9321517944336, -8.638667106628418, 46.3299560546875, 78.7385482788086, -91.05117797851562]",[ 42.85956401 -82.90125518 -84.45478453  54.86061637  56.08658283],3,1
55,"[2.4895517826080322, 26.296884536743164, -14.226235389709473, -65.20442199707031, -86.40258026123047, 98.06267547607422, -40.54246520996094, 45.727577209472656, 88.20036315917969, -94.36739349365234]",[-93.60537223 -36.15979072  24.95934171  81.16151035  87.12487609],0,0
57,"[1.2143634557724, 45.47401428222656, -14.513051986694336, -65.42118072509766, -98.3357162475586, 97.88668823242188, -16.55067253112793, 42.91786193847656, 83.98738098144531, -88.85652160644531]",[-32.91918737  -0.34845169   8.30869808 -61.01930321  12.19682179],0,0
59,"[-12.559021949768066, 28.88190460205078, -9.701384544372559, -65.3159408569336, -88.64923858642578, 98.00379180908203, -21.72939109802246, 44.4498291015625, 80.2310562133789, -91.87667083740234]",[-93.32592333 -33.09978143  29.65661351  78.88286264  87.0005214 ],1,1
